Date,SKU,Group,Units Pkg,Avg Price Pkg,Sales Pkg
201801,SKU_01,A,13,5,879
201801,SKU_02,B,7,7,8
201801,SKU_03,B,7,6,197
201801,SKU_04,C,4,6,1
201801,SKU_05,C,6,8,1
201801,SKU_06,C,6,8,0
201801,SKU_07,D,6,9,3364
201801,SKU_08,D,7,8,1755
201801,SKU_09,D,7,7,79
201801,SKU_10,D,6,7,376
201801,SKU_11,D,7,7,249
201801,SKU_12,D,5,9,626
201801,SKU_13,D,8,8,363
201801,SKU_14,D,5,7,546
201801,SKU_15,D,5,7,325
201801,SKU_16,D,4,7,270
201801,SKU_17,F,7,15,125
201801,SKU_18,F,7,12,0
201801,SKU_19,F,7,14,211
201801,SKU_20,F,7,13,35
201801,SKU_21,F,6,12,138
201801,SKU_22,F,7,13,90
201801,SKU_23,F,7,10,102
201801,SKU_24,F,6,9,60
201801,SKU_25,F,6,9,276
201801,SKU_26,H,5,8,72
201801,SKU_27,I,5,5,356
201801,SKU_28,I,15,3,11
201801,SKU_29,I,5,8,61
201801,SKU_30,I,5,4,149
201801,SKU_31,I,10,3,41
201801,SKU_32,I,4,6,264
201801,SKU_33,G,8,15,37
201801,SKU_34,G,4,7,98
201801,SKU_35,G,4,7,144
201801,SKU_36,J,4,11,261
201801,SKU_37,J,4,10,303
201801,SKU_38,J,4,9,3
201801,SKU_39,J,4,11,367
201801,SKU_40,J,4,10,510
201801,SKU_41,J,6,11,313
201801,SKU_42,J,6,11,563
201801,SKU_43,J,5,10,233
201801,SKU_44,J,5,10,320
201801,SKU_45,J,4,9,9
201801,SKU_46,K,5,9,682
201801,SKU_47,K,5,9,772
201801,SKU_48,L,40,9,77
201801,SKU_49,M,40,7,3
201801,SKU_50,M,80,11,57
201801,SKU_51,N,100,6,366
201801,SKU_52,N,100,5,253
201802,SKU_01,A,13,5,1054
201802,SKU_02,B,7,7,2
201802,SKU_03,B,7,6,172
201802,SKU_04,C,4,6,5
201802,SKU_05,C,6,8,11
201802,SKU_53,C,6,8,46
201802,SKU_54,C,5,8,30
201802,SKU_07,D,6,9,2176
201802,SKU_08,D,7,8,1610
201802,SKU_09,D,7,7,119
201802,SKU_10,D,6,7,506
201802,SKU_11,D,7,7,136
201802,SKU_12,D,5,9,693
201802,SKU_13,D,8,8,208
201802,SKU_14,D,5,7,779
201802,SKU_15,D,5,7,182
201802,SKU_16,D,4,7,413
201802,SKU_17,F,7,15,186
201802,SKU_18,F,7,12,1
201802,SKU_19,F,7,14,260
201802,SKU_20,F,7,13,46
201802,SKU_21,F,6,12,66
201802,SKU_22,F,7,13,63
201802,SKU_23,F,7,10,33
201802,SKU_24,F,6,9,72
201802,SKU_25,F,6,9,245
201802,SKU_26,H,5,8,83
