Date,SKU,Group,Units Pkg,Avg Price Pkg,Sales Pkg,Turnover per month,Avg Price Pkg binned,Sales Pkg binned,Low avg price,Medium avg price,High avg price
2018-01-01,SKU_01,A,13,5,879,4395,Low,Low,1,0,0
2018-01-01,SKU_02,B,7,7,8,56,Low,Low,1,0,0
2018-01-01,SKU_03,B,7,6,197,1182,Low,Low,1,0,0
2018-01-01,SKU_04,C,4,6,1,6,Low,Low,1,0,0
2018-01-01,SKU_05,C,6,8,1,8,Low,Low,1,0,0
2018-01-01,SKU_06,C,6,8,0,0,Low,Low,1,0,0
2018-01-01,SKU_07,D,6,9,3364,30276,Low,High,1,0,0
2018-01-01,SKU_08,D,7,8,1755,14040,Low,Medium,1,0,0
2018-01-01,SKU_09,D,7,7,79,553,Low,Low,1,0,0
2018-01-01,SKU_10,D,6,7,376,2632,Low,Low,1,0,0
2018-01-01,SKU_11,D,7,7,249,1743,Low,Low,1,0,0
2018-01-01,SKU_12,D,5,9,626,5634,Low,Low,1,0,0
2018-01-01,SKU_13,D,8,8,363,2904,Low,Low,1,0,0
2018-01-01,SKU_14,D,5,7,546,3822,Low,Low,1,0,0
2018-01-01,SKU_15,D,5,7,325,2275,Low,Low,1,0,0
2018-01-01,SKU_16,D,4,7,270,1890,Low,Low,1,0,0
2018-01-01,SKU_17,F,7,15,125,1875,Medium,Low,0,1,0
2018-01-01,SKU_18,F,7,12,0,0,Medium,Low,0,1,0
2018-01-01,SKU_19,F,7,14,211,2954,Medium,Low,0,1,0
2018-01-01,SKU_20,F,7,13,35,455,Medium,Low,0,1,0
2018-01-01,SKU_21,F,6,12,138,1656,Medium,Low,0,1,0
2018-01-01,SKU_22,F,7,13,90,1170,Medium,Low,0,1,0
2018-01-01,SKU_23,F,7,10,102,1020,Low,Low,1,0,0
2018-01-01,SKU_24,F,6,9,60,540,Low,Low,1,0,0
2018-01-01,SKU_25,F,6,9,276,2484,Low,Low,1,0,0
2018-01-01,SKU_26,H,5,8,72,576,Low,Low,1,0,0
2018-01-01,SKU_27,I,5,5,356,1780,Low,Low,1,0,0
2018-01-01,SKU_28,I,15,3,11,33,Low,Low,1,0,0
2018-01-01,SKU_29,I,5,8,61,488,Low,Low,1,0,0
2018-01-01,SKU_30,I,5,4,149,596,Low,Low,1,0,0
2018-01-01,SKU_31,I,10,3,41,123,Low,Low,1,0,0
2018-01-01,SKU_32,I,4,6,264,1584,Low,Low,1,0,0
2018-01-01,SKU_33,G,8,15,37,555,Medium,Low,0,1,0
2018-01-01,SKU_34,G,4,7,98,686,Low,Low,1,0,0
2018-01-01,SKU_35,G,4,7,144,1008,Low,Low,1,0,0
2018-01-01,SKU_36,J,4,11,261,2871,Medium,Low,0,1,0
2018-01-01,SKU_37,J,4,10,303,3030,Low,Low,1,0,0
2018-01-01,SKU_38,J,4,9,3,27,Low,Low,1,0,0
2018-01-01,SKU_39,J,4,11,367,4037,Medium,Low,0,1,0
2018-01-01,SKU_40,J,4,10,510,5100,Low,Low,1,0,0
2018-01-01,SKU_41,J,6,11,313,3443,Medium,Low,0,1,0
2018-01-01,SKU_42,J,6,11,563,6193,Medium,Low,0,1,0
2018-01-01,SKU_43,J,5,10,233,2330,Low,Low,1,0,0
2018-01-01,SKU_44,J,5,10,320,3200,Low,Low,1,0,0
2018-01-01,SKU_45,J,4,9,9,81,Low,Low,1,0,0
2018-01-01,SKU_46,K,5,9,682,6138,Low,Low,1,0,0
2018-01-01,SKU_47,K,5,9,772,6948,Low,Low,1,0,0
2018-01-01,SKU_48,L,40,9,77,693,Low,Low,1,0,0
2018-01-01,SKU_49,M,40,7,3,21,Low,Low,1,0,0
2018-01-01,SKU_50,M,80,11,57,627,Medium,Low,0,1,0
2018-01-01,SKU_51,N,100,6,366,2196,Low,Low,1,0,0
2018-01-01,SKU_52,N,100,5,253,1265,Low,Low,1,0,0
2018-02-01,SKU_01,A,13,5,1054,5270,Low,Low,1,0,0
2018-02-01,SKU_02,B,7,7,2,14,Low,Low,1,0,0
2018-02-01,SKU_03,B,7,6,172,1032,Low,Low,1,0,0
2018-02-01,SKU_04,C,4,6,5,30,Low,Low,1,0,0
2018-02-01,SKU_05,C,6,8,11,88,Low,Low,1,0,0
2018-02-01,SKU_53,C,6,8,46,368,Low,Low,1,0,0
2018-02-01,SKU_54,C,5,8,30,240,Low,Low,1,0,0
2018-02-01,SKU_07,D,6,9,2176,19584,Low,Medium,1,0,0
2018-02-01,SKU_08,D,7,8,1610,12880,Low,Medium,1,0,0
2018-02-01,SKU_09,D,7,7,119,833,Low,Low,1,0,0
2018-02-01,SKU_10,D,6,7,506,3542,Low,Low,1,0,0
2018-02-01,SKU_11,D,7,7,136,952,Low,Low,1,0,0
2018-02-01,SKU_12,D,5,9,693,6237,Low,Low,1,0,0
2018-02-01,SKU_13,D,8,8,208,1664,Low,Low,1,0,0
2018-02-01,SKU_14,D,5,7,779,5453,Low,Low,1,0,0
2018-02-01,SKU_15,D,5,7,182,1274,Low,Low,1,0,0
2018-02-01,SKU_16,D,4,7,413,2891,Low,Low,1,0,0
2018-02-01,SKU_17,F,7,15,186,2790,Medium,Low,0,1,0
2018-02-01,SKU_18,F,7,12,1,12,Medium,Low,0,1,0
2018-02-01,SKU_19,F,7,14,260,3640,Medium,Low,0,1,0
2018-02-01,SKU_20,F,7,13,46,598,Medium,Low,0,1,0
2018-02-01,SKU_21,F,6,12,66,792,Medium,Low,0,1,0
2018-02-01,SKU_22,F,7,13,63,819,Medium,Low,0,1,0
2018-02-01,SKU_23,F,7,10,33,330,Low,Low,1,0,0
2018-02-01,SKU_24,F,6,9,72,648,Low,Low,1,0,0
2018-02-01,SKU_25,F,6,9,245,2205,Low,Low,1,0,0
2018-02-01,SKU_26,H,5,8,83,664,Low,Low,1,0,0
2018-02-01,SKU_27,I,5,5,270,1350,Low,Low,1,0,0
2018-02-01,SKU_28,I,15,3,9,27,Low,Low,1,0,0
2018-02-01,SKU_29,I,5,8,63,504,Low,Low,1,0,0
2018-02-01,SKU_30,I,5,4,122,488,Low,Low,1,0,0
2018-02-01,SKU_31,I,10,3,20,60,Low,Low,1,0,0
2018-02-01,SKU_32,I,4,6,164,984,Low,Low,1,0,0
2018-02-01,SKU_33,G,8,15,8,120,Medium,Low,0,1,0
2018-02-01,SKU_34,G,4,7,106,742,Low,Low,1,0,0
2018-02-01,SKU_35,G,4,7,119,833,Low,Low,1,0,0
