Financial Year,Export,Import,Total Trade,Trade Balance
1997-1998,6735.4,3714.18,10449.58,3021.22
1998-1999,7199.59,3640.25,10839.84,3559.34
1999-2000,8395.61,3560.22,11955.83,4835.39
2000-2001,9305.12,3015.0,12320.12,6290.12
2001-2002,8513.34,3149.62,11662.96,5363.73
2002-2003,10895.76,4443.58,15339.34,6452.19
2003-2004,11490.03,5034.83,16524.86,6455.21
2004-2005,13765.75,7001.35,20767.1,6764.4
2005-2006,17353.06,9454.74,26807.8,7898.32
2006-2007,18863.47,11738.24,30601.71,7125.23
2007-2008,20731.34,21067.24,41798.58,-335.9
2008-2009,21149.53,18561.42,39710.95,2588.12
2009-2010,19535.49,16973.68,36509.17,2561.82
2010-2011,25291.91,20050.72,45342.63,5241.19
2011-2012,34741.6,23454.92,58196.52,11286.68
2012-2013,36155.22,25204.73,61359.95,10950.49
2013-2014,39142.1,22505.08,61647.19,16637.02
2014-2015,42448.66,21814.6,64263.26,20634.05
2015-2016,40336.01,21781.39,62117.39,18554.62
2016-2017,42212.27,22307.44,64519.71,19904.83
2017-2018,47878.48,26611.03,74489.51,21267.44
2018-2019,52406.27,35549.48,87955.76,16856.79
2019-2020,53088.77,35819.87,88908.65,17268.9
2020-2021,51623.14,28888.1,80511.24,22735.05
2021-2022,76111.33,43313.84,119425.17,32797.49
2022-till now,21674.8,13431.83,35106.63,8242.98
