ID,MntWines,MntMeatProducts,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Education,Average Income binned
5524,635,546,8,10,4,Graduation,More average
2174,11,6,1,1,2,Graduation,Less average
4141,426,127,8,2,10,Graduation,More average
6182,11,20,2,0,4,Graduation,Less average
5324,173,118,5,3,6,PhD,More average
7446,520,98,6,4,10,Master,More average
965,235,164,7,3,7,Graduation,More average
6177,76,56,4,0,4,PhD,Less average
4855,14,24,3,0,2,PhD,Less average
5899,28,6,1,0,0,PhD,Low
1994,5,6,1,0,2,Graduation,More average
387,6,11,2,0,3,Basic,Low
2125,194,480,3,4,8,Graduation,More average
8180,233,53,6,1,5,Master,More average
2569,3,17,1,0,3,Graduation,Low
2114,1006,115,7,6,12,PhD,High
9736,53,19,3,0,3,Graduation,Less average
4939,84,38,4,1,6,Graduation,Less average
6565,1012,498,11,4,9,Master,High
2278,4,19,2,1,3,2n Cycle,Less average
9360,86,73,4,2,5,Graduation,Less average
5376,1,1725,0,28,0,Graduation,Low
1993,867,86,2,3,9,PhD,More average
4047,384,102,6,2,9,PhD,More average
1409,270,27,7,1,5,Graduation,Less average
7892,6,25,2,1,3,Graduation,Low
2404,173,30,5,1,4,Graduation,More average
5255,5,3,27,0,0,Graduation,More average
9422,36,42,2,1,4,Graduation,Less average
1966,684,801,6,9,10,PhD,High
6864,8,10,3,0,3,Master,Low
3033,112,44,2,5,3,Master,Less average
5710,110,5,2,1,4,Graduation,Less average
7373,96,96,4,1,6,PhD,Less average
8755,482,471,3,5,9,Master,More average
10738,40,19,2,0,3,Master,Less average
4339,702,151,5,6,12,PhD,More average
10755,6,14,3,1,2,2n Cycle,Low
8595,55,6,1,1,3,Graduation,Less average
2968,437,206,7,10,5,PhD,Less average
8601,421,536,8,6,5,Graduation,High
503,13,29,2,0,3,Master,Low
8430,9,6,0,0,3,Graduation,Low
7281,81,50,1,3,4,PhD,More average
2139,3,10,2,0,3,Master,Low
1371,123,266,2,4,9,Graduation,High
9909,3,14,3,1,3,2n Cycle,Low
7286,13,15,2,0,2,Graduation,Less average
7244,48,48,2,1,4,Graduation,More average
6566,826,317,5,2,12,PhD,More average
8614,245,125,4,2,10,Graduation,More average
4114,650,780,6,9,13,Master,High
1331,12,20,2,0,3,Graduation,Less average
2225,510,550,4,9,7,Graduation,High
9381,328,124,4,2,10,Graduation,More average
6260,984,432,3,10,13,Master,High
10383,295,482,5,5,10,Graduation,More average
7437,13,8,1,0,4,Graduation,Less average
8557,11,22,2,0,3,Graduation,More average
8375,447,28,8,2,6,PhD,More average
6853,712,538,3,6,11,Master,High
3076,452,102,4,2,12,Graduation,More average
1012,523,134,8,2,10,Graduation,More average
6518,546,48,7,3,8,PhD,More average
4137,398,367,7,4,4,Graduation,More average
8082,1,6,1,1,2,Graduation,Low
1386,10,1,1,0,2,Graduation,Less average
9369,688,309,11,10,10,2n Cycle,High
4477,247,159,5,2,10,Graduation,More average
1357,856,487,2,5,5,Graduation,High
1402,496,460,4,8,6,Master,More average
10629,25,43,3,0,3,2n Cycle,More average
6312,258,291,10,3,13,Graduation,More average
8132,565,65,9,2,8,PhD,More average
1050,14,13,2,1,4,Graduation,Less average
5846,2,6,1,0,2,Graduation,Less average
1859,721,925,7,6,5,Master,High
7503,1032,779,5,8,9,Graduation,High
10401,1,5,0,0,3,2n Cycle,Less average
1618,577,64,10,1,8,Graduation,More average
3332,64,68,3,1,4,Graduation,Less average
2261,4,5,1,0,2,Graduation,Less average
